.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg11067179,CD14,CD8,2,12,18.033955337188,11.9900262864658,4.71e-10,4.239e-09,****
cg11067179,CD19,CD8,8,12,13.9084364419556,13.6291409680367,1.94e-09,1.358e-08,****
cg11067179,CD4,CD8,12,12,14.7941062354854,13.9267354685949,6.56e-10,5.248e-09,****
cg11067179,CD56,CD8,12,12,16.473889891196,13.662370216774,2.1e-10,2.1e-09,****
