.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg10837404,CD14,CD4,2,12,24.7508647805662,6.37280150363466,1.42e-07,9.94e-07,****
cg10837404,CD19,CD4,8,12,21.5631340632249,17.7940202444261,3.35e-14,3.35e-13,****
cg10837404,CD4,CD56,12,12,-28.3404273811529,12.9870750594133,4.6e-13,4.14e-12,****
cg10837404,CD4,CD8,12,12,-14.0481504055018,21.6734788669228,2.31e-12,1.848e-11,****
