.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg21596498,CD14,CD19,2,8,25.4694607427287,5.25073484734623,1.05e-06,2.625e-06,****
cg21596498,CD19,CD4,8,11,-31.3210492198146,7.44275051671461,3.56e-09,2.16e-08,****
cg21596498,CD19,CD56,8,12,-31.2730207964171,7.35216079257627,4.32e-09,2.16e-08,****
cg21596498,CD19,CD8,8,12,-32.2635596691618,7.03436300553707,6.62e-09,2.20666666666667e-08,****
