.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg16636767,CD14,CD19,2,8,-21.6083446308784,2.79975989674354,0.000336,0.00336,**
cg16636767,CD14,CD4,2,12,-28.5429047230872,1.44208694075572,0.006,0.042,*
cg16636767,CD14,CD56,2,12,-26.568410662996,1.83346021536486,0.002,0.018,*
cg16636767,CD14,CD8,2,12,-28.5341366579598,1.46470879123816,0.005,0.04,*
