.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg25939861,CD14,CD8,2,12,19.7674596587521,1.01130637457028,0.031,0.0442857142857143,*
cg25939861,CD19,CD8,8,12,81.5237360570956,8.49914287924969,1.34e-13,6.7e-13,****
cg25939861,CD4,CD8,12,12,122.618871607537,17.6259146438189,2.74e-27,2.74e-26,****
cg25939861,CD56,CD8,12,12,21.7627571952697,11.2601811057012,1.48e-10,4.93333333333333e-10,****
