variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg27565966,CD14,CD19,2,8,19.4210267514016,2.51457072781973,0.000833,0.00151454545454545,**
cg27565966,CD19,CD4,8,12,-32.2884282820485,6.3039140591858,3.06e-08,7.65e-08,****
cg27565966,CD19,CD56,8,12,-24.335295238656,10.9170405220024,7.34e-11,8.13333333333333e-10,****
cg27565966,CD19,CD8,8,12,-28.2650719056535,9.91633410510905,8.27e-11,8.13333333333333e-10,****
CpG7,CD14,CD19,2,8,11.8277904563735,1.5600017382701,0.016,0.0266666666666667,*
CpG7,CD19,CD4,8,12,-29.1886989446517,6.86476650332088,1.86e-08,5.51428571428571e-08,****
CpG7,CD19,CD56,8,12,-22.8036965534419,7.82892033887236,1.93e-08,5.51428571428571e-08,****
CpG7,CD19,CD8,8,12,-28.0313727522515,7.0831412226648,1.61e-08,5.51428571428571e-08,****
